model,dataset,errant_f0.5,cola_input,cola_corrected,cola_delta,correction_extent,n_edits
t5_base,generated,0.639,0.843,0.967,0.124,0.229,1.0
t5_base,original,0.468,0.674,0.841,0.167,0.45,2.59
coedit_large,generated,0.692,0.843,0.979,0.136,0.303,1.43
coedit_large,original,0.521,0.674,0.912,0.238,0.527,3.34
prithivida,generated,0.647,0.843,0.96,0.117,0.214,0.95
prithivida,original,0.563,0.674,0.783,0.108,0.253,1.38
haiku,generated,0.705,0.843,0.996,0.153,0.358,1.72
haiku,original,0.577,0.674,0.988,0.314,0.623,4.21
